Date	Actual_Rating	Predicted_Rating
2024-01-21 00:00:00	3.561755952	3.614841523
2024-01-22 00:00:00	3.493468795	3.553124934
2024-01-23 00:00:00	3.303698897	3.59817964
2024-01-24 00:00:00	3.600430416	3.585698692
2024-01-25 00:00:00	3.574704142	3.654837161
2024-01-26 00:00:00	4.089974293	3.911161298
2024-01-27 00:00:00	4.364571429	3.988980391
2024-01-28 00:00:00	4.01988218	3.611297364
2024-01-29 00:00:00	3.886160714	3.54938909
2024-01-30 00:00:00	3.834815161	3.594252112
2024-01-31 00:00:00	3.928531232	3.581579481
2024-02-01 00:00:00	4.050228311	3.650376085
2024-02-02 00:00:00	4.072115385	3.906550042
2024-02-03 00:00:00	4.21756487	3.984218954
2024-02-04 00:00:00	3.787234043	3.606385747
2024-02-05 00:00:00	3.390027701	3.544327293
2024-02-06 00:00:00	3.943168077	3.589040134
2024-02-07 00:00:00	3.595775674	3.576217196
2024-02-08 00:00:00	3.671834625	3.645013674
2024-02-09 00:00:00	3.817679558	3.901187506
2024-02-10 00:00:00	3.698214286	3.978856292
2024-02-11 00:00:00	3.765842349	3.601022958
2024-02-12 00:00:00	3.489433643	3.538964366
2024-02-13 00:00:00	3.487140696	3.583677069
2024-02-14 00:00:00	3.614886731	3.570854119
2024-02-15 00:00:00	3.532163743	3.639650584
2024-02-16 00:00:00	3.813747228	3.895824403
2024-02-17 00:00:00	3.353754941	3.973493177
2024-02-18 00:00:00	3.403731976	3.595659829
2024-02-19 00:00:00	3.148325359	3.533601234
2024-02-20 00:00:00	3.828956707	3.578313935
2024-02-21 00:00:00	3.463212435	3.565490982
2024-02-22 00:00:00	3.383157895	3.634287446
2024-02-23 00:00:00	3.645533141	3.890461262
2024-02-24 00:00:00	3.783505155	3.96813003
2024-02-25 00:00:00	3.552304965	3.590296678
2024-02-26 00:00:00	3.367567568	3.528238079
2024-02-27 00:00:00	3.642113691	3.572950776
2024-02-28 00:00:00	3.513380666	3.56012782
2024-02-29 00:00:00	3.727093596	3.628924279
2024-03-01 00:00:00	3.90060241	3.885098092
2024-03-02 00:00:00	3.61482821	3.96276686
2024-03-03 00:00:00	3.749483827	3.584933508
2024-03-04 00:00:00	3.450831025	3.522874909
2024-03-05 00:00:00	3.364527629	3.567587606
2024-03-06 00:00:00	3.268252666	3.55476465
2024-03-07 00:00:00	3.531843575	3.623561109
2024-03-08 00:00:00	4.328813559	3.879734922
2024-03-09 00:00:00	4.292153589	3.95740369
2024-03-10 00:00:00	3.498089172	3.579570338
2024-03-11 00:00:00	3.493103448	3.517511739
2024-03-12 00:00:00	3.407180385	3.562224436
2024-03-13 00:00:00	3.559921415	3.54940148
2024-03-14 00:00:00	3.632674298	3.618197939
2024-03-15 00:00:00	3.646464646	3.874371752
2024-03-16 00:00:00	4.200389105	3.95204052
2024-03-17 00:00:00	3.593317972	3.574207168
2024-03-18 00:00:00	3.400990099	3.512148569
2024-03-19 00:00:00	3.289228159	3.556861266
2024-03-20 00:00:00	3.678983834	3.54403831
2024-03-21 00:00:00	3.636211232	3.612834769
2024-03-22 00:00:00	3.697933227	3.869008582
2024-03-23 00:00:00	3.963017751	3.94667735
2024-03-24 00:00:00	3.606818182	3.568843997
2024-03-25 00:00:00	3.365499573	3.506785399
2024-03-26 00:00:00	3.801911381	3.551498096
2024-03-27 00:00:00	3.435050392	3.53867514
2024-03-28 00:00:00	3.68438914	3.607471599
2024-03-29 00:00:00	3.846560847	3.863645412
2024-03-30 00:00:00	3.947916667	3.94131418
2024-03-31 00:00:00	3.771620487	3.563480827
2024-04-01 00:00:00		3.501422229
2024-04-02 00:00:00		3.546134926
2024-04-03 00:00:00		3.533311969
2024-04-04 00:00:00		3.602108429
2024-04-05 00:00:00		3.858282242
2024-04-06 00:00:00		3.93595101
2024-04-07 00:00:00		3.558117657
2024-04-08 00:00:00		3.496059059
2024-04-09 00:00:00		3.540771756
2024-04-10 00:00:00		3.527948799
2024-04-11 00:00:00		3.596745259
2024-04-12 00:00:00		3.852919071
2024-04-13 00:00:00		3.930587839
2024-04-14 00:00:00		3.552754487
2024-04-15 00:00:00		3.490695889
2024-04-16 00:00:00		3.535408586
2024-04-17 00:00:00		3.522585629
2024-04-18 00:00:00		3.591382089
2024-04-19 00:00:00		3.847555901
2024-04-20 00:00:00		3.925224669
2024-04-21 00:00:00		3.547391317
2024-04-22 00:00:00		3.485332719
2024-04-23 00:00:00		3.530045415
2024-04-24 00:00:00		3.517222459
2024-04-25 00:00:00		3.586018919
2024-04-26 00:00:00		3.842192731
2024-04-27 00:00:00		3.919861499
2024-04-28 00:00:00		3.542028147
2024-04-29 00:00:00		3.479969549
2024-04-30 00:00:00		3.524682245
